new_name,old_name
SEQ_15,cds_AIU46709_A/Netherlands/M2/1957_1957/07/13_HA_HA_2
SEQ_19,cds_ACF25521_A/goose/OH/22911-2/1986_1986//_HA_HA_5
SEQ_38,cds_AFX85660_A/shorebird/Delaware_Bay/216/1999_1999/05/24_HA_HA_11
SEQ_13,cds_AGW43336_A/Iceland_gull/Iceland/1124/2011_2011/10/16_HA_HA_2
SEQ_33,cds_ABB20444_A/duck/NZL/76/1984_1984/02/09_HA_HA_9
SEQ_18,cds_AKM15238_A/environment/TienGiang/4/2013_2013/11/01_HA_HA_5
SEQ_30,cds_AHZ37334_A/mallard/Sweden/5389/2005_2005/09/20_HA_HA_8
SEQ_31,cds_ABB87740_A/mallard/Alberta/194/1992_1992/12/01_HA_HA_8
SEQ_46,cds_ACA48469_A/great_black-headed_gull/Astrakhan/1420/79_1979//_HA_HA_13
SEQ_47,cds_ADQ26640_A/black-headed_gull/Sweden/1/2005_2005//_HA_HA_13
SEQ_20,cds_ACR56244_A/chicken/Egypt/0880-NLQP/2008_2008/05/18_HA_HA_5
SEQ_22,cds_AEQ72857_A/chicken/Egypt/1174S/2011_2011/01/14_HA_HA_5
SEQ_52,cds_AGG26972_A/laughing_gull/Delaware_Bay/2623/1987_1987/05/20_HA_HA_16
SEQ_25,cds_AHN04774_A/mallard/Wisconsin/13/1974_1974//_HA_HA_6
SEQ_28,cds_BAA14334_A/turkey/Ontario/6118/1968_1968//_HA_HA_8
SEQ_6,cds_ABU50586_A/Solomon_Islands/3/2006_2006/08/21_HA_HA_1
SEQ_32,cds_APH08825_A/northern_pintail/Alaska/136/2011_2011/09/17_HA_HA_8
SEQ_7,cds_AGM53850_A/California/07/2009_2009/04/09_HA_HA_1
SEQ_48,cds_APC31840_A/black-headed_gull/Netherlands/2/2015_2015/06/30_HA_HA_16
SEQ_1,cds_ADT78908_A/Netherlands/001R1/1953_1953//_HA_HA_1
SEQ_42,cds_AHN02888_A/green-winged_teal/Wisconsin/561/1979_1979//_HA_HA_11
SEQ_40,cds_AHN00812_A/mallard/Wisconsin/435/1981_1981//_HA_HA_11
SEQ_44,cds_AGW82814_A/turkey/MN/1012/1991_1991//_HA_HA_13
SEQ_34,cds_AEA04408_A/turkey/Wisconsin/1/1966_1966/06/11_HA_HA_9
SEQ_39,cds_AHN04179_A/blue-winged_teal/Wisconsin/145/1980_1980//_HA_HA_11
SEQ_43,cds_ACF04702_A/gull/Astrakhan/998/1990_1990/05/_HA_HA_13
SEQ_49,cds_BAO94331_A/duck/Hokkaido/WZ82/2013_2013/10/18_HA_HA_16
SEQ_26,cds_ABD35532_A/chicken/Taiwan/SP1/00_2000//_HA_HA_6
SEQ_17,cds_ABQ01355_A/Albany/1/1960_1960//_HA_HA_2
SEQ_0,cds_AJW32017_A/swine/Iowa/40766/1992_1992//_HA_HA_1
SEQ_9,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1
SEQ_14,cds_AFJ12662_A/chicken/Pennsylvania/24825/1991_1991/04/12_HA_HA_2
SEQ_10,cds_AGG84162_A/mallard/Nova_Scotia/01017/2010_2010/09/20_HA_HA_2
SEQ_3,cds_ABG88344_A/Memphis/2/1983_1983//_HA_HA_1
SEQ_45,cds_ACD40325_A/kelp_gull/Argentina/LDC4/2006_2006//_HA_HA_13
SEQ_4,cds_ACF41867_A/Beijing/262/1995_1995//_HA_HA_1
SEQ_5,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1
SEQ_37,cds_AEY75592_A/duck/Malaysia/91/1997_1997/09/24_HA_HA_9
SEQ_50,cds_AGW82845_A/waterfowl/GA/96623-7/2001_2001//_HA_HA_16
SEQ_36,cds_AEP33146_A/chicken/Shandong/M/2010_2010/02/_HA_HA_9
SEQ_35,cds_AJM70546_A/chicken/Yangzhou/738/2013_2013/06/_HA_HA_9
SEQ_24,cds_AHM99853_A/mallard/Wisconsin/2077/1984_1984//_HA_HA_6
SEQ_27,cds_AET74531_A/ruddy_turnstone/Delaware_Bay/215/1996_1996/05/15_HA_HA_6
SEQ_11,cds_AFM82770_A/mallard/Sweden/111/2002_2002//_HA_HA_2
SEQ_12,cds_ADI88882_A/mallard/Netherlands/5/1999_1999/10/18_HA_HA_2
SEQ_23,cds_BAF48639_A/turkey/Massachusetts/3740/1965_1965//_HA_HA_6
SEQ_51,cds_AGW82846_A/gull/MD/4985/1979_1979//_HA_HA_16
SEQ_8,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1
SEQ_29,cds_BAG66275_A/duck/Hokkaido/95/1981_1981//_HA_HA_8
SEQ_41,cds_AGK41363_A/blue-winged_teal/Louisiana/B3/1986_1986//_HA_HA_11
SEQ_2,cds_ABN59434_A/Roma/1949_1949//_HA_HA_1
SEQ_21,cds_AQW44212_A/chicken/Czech_Republic/206-17_2/2017_2017/01/06_HA_HA_5
SEQ_16,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2
